customer_id,gender,occupation,annual_salary_gbp,credit_card_utilization_pct,on_time_payment_ratio_pct,mortgage_status,rent_payment_monthly_gbp,rent_on_time_rate_pct,utility_bills_on_time_pct,mobile_money_active,mobile_money_tx_monthly,mobile_money_age_days,preferred_loan_term_months,existing_loans_count,months_credit_history,default_next_12m
CUST-000001,Male,Self-Employed,54641,24.3,71.9,None,320,68.4,87.9,False,0,0,6,1,20,0
CUST-000002,Female,Skilled,58191,9.5,71.1,None,470,76.1,79.2,True,13,1208,60,1,41,0
CUST-000003,Female,Professional,63798,50.3,66.4,Current,0,100.0,78.7,False,0,0,36,0,208,0
CUST-000004,Female,Clerical,12814,32.4,60.9,None,300,71.0,68.2,False,0,0,60,2,35,0
CUST-000005,Male,Skilled,49403,7.3,81.9,None,300,79.8,79.8,True,9,1818,6,0,15,0
CUST-000006,Male,Clerical,18695,65.5,52.9,None,380,71.7,57.9,False,0,0,6,2,37,1
CUST-000007,Male,Professional,70527,23.9,64.0,None,320,68.2,58.4,False,0,0,24,0,35,0
CUST-000008,Female,Clerical,29227,39.5,65.0,None,300,80.2,76.3,True,4,1010,6,1,32,0
CUST-000009,Female,Skilled,39009,56.5,58.0,None,300,75.5,62.8,True,8,618,24,1,98,1
CUST-000010,Female,Skilled,20931,38.8,63.6,None,320,65.2,69.9,False,0,0,36,0,94,0
CUST-000011,Male,Unemployed,8911,63.3,47.2,None,300,55.0,65.8,True,10,1330,12,1,161,0
CUST-000012,Other,Skilled,25444,21.0,64.0,None,300,56.3,84.9,True,13,1126,12,0,57,0
CUST-000013,Female,Clerical,28722,45.4,78.3,None,300,81.2,73.9,True,11,420,24,2,48,0
CUST-000014,Male,Clerical,20689,49.4,60.9,Current,0,100.0,55.9,True,13,114,24,2,81,0
CUST-000015,Male,Professional,39510,52.8,68.8,PaidOff,0,100.0,79.8,False,0,0,24,1,317,1
CUST-000016,Male,Clerical,30270,39.1,55.2,None,300,69.9,64.1,False,0,0,12,1,1,1
CUST-000017,Male,Skilled,27861,3.0,81.4,None,310,92.6,81.4,True,11,149,12,0,166,0
CUST-000018,Female,Self-Employed,44020,44.2,58.9,None,300,56.5,66.1,True,10,624,24,2,128,0
CUST-000019,Male,Clerical,21578,7.2,75.4,None,440,89.3,69.5,True,8,1140,6,1,244,0
CUST-000020,Male,Skilled,44943,73.7,62.3,None,330,65.0,50.4,True,11,1224,6,1,7,1
CUST-000021,Female,Skilled,44610,30.2,64.6,None,300,69.9,57.8,True,15,386,24,2,35,1
CUST-000022,Male,Clerical,27428,11.2,62.6,None,430,56.0,81.1,True,15,896,60,0,23,0
CUST-000023,Male,Clerical,25355,16.2,51.2,None,350,62.8,45.9,True,6,149,12,1,226,0
CUST-000024,Male,Clerical,23355,26.3,62.6,None,300,69.3,89.8,True,13,404,12,4,134,0
CUST-000025,Male,Professional,50541,36.0,61.2,Current,0,100.0,70.9,True,12,1513,12,0,64,0
CUST-000026,Female,Self-Employed,33178,14.1,72.8,None,300,77.4,71.0,True,9,846,6,0,17,0
CUST-000027,Male,Skilled,41827,67.2,63.5,None,300,69.9,54.0,True,13,450,12,2,25,1
CUST-000028,Female,Clerical,37728,47.2,76.0,None,300,69.3,92.4,False,0,0,24,1,154,1
CUST-000029,Female,Professional,71851,56.8,75.7,None,300,78.2,59.2,True,11,474,24,1,48,0
CUST-000030,Male,Skilled,43720,44.6,53.8,Current,0,100.0,50.4,True,9,352,12,0,8,1
CUST-000031,Female,Clerical,25353,43.6,60.5,None,320,73.0,59.7,True,17,1448,36,0,125,0
CUST-000032,Male,Professional,71315,19.9,83.4,None,300,100.0,68.9,False,0,0,36,1,9,0
CUST-000033,Male,Self-Employed,9782,16.4,58.1,None,300,44.1,69.7,True,12,332,12,1,52,0
CUST-000034,Female,Clerical,21669,55.9,65.8,None,300,79.3,65.4,True,10,831,24,1,92,0
CUST-000035,Other,Self-Employed,52555,40.0,69.6,None,300,70.0,71.2,False,0,0,24,0,15,0
CUST-000036,Female,Skilled,43773,16.9,66.4,Current,0,100.0,75.6,False,0,0,24,0,23,0
CUST-000037,Male,Professional,58480,55.5,55.4,PaidOff,0,100.0,55.0,True,12,1198,6,1,130,0
CUST-000038,Male,Clerical,18150,60.1,65.1,None,300,81.7,79.7,True,16,349,24,0,1,0
CUST-000039,Female,Skilled,37432,31.4,63.4,Current,0,100.0,78.0,True,8,1532,24,0,2,0
CUST-000040,Male,Skilled,34524,46.7,59.5,Current,0,100.0,60.4,False,0,0,6,0,58,0
CUST-000041,Male,Clerical,31644,18.5,67.8,None,300,75.5,66.2,False,0,0,12,0,103,0
CUST-000042,Female,Clerical,30220,69.3,67.7,None,300,57.7,54.9,False,0,0,60,1,146,0
CUST-000043,Male,Professional,83588,42.2,80.4,Current,0,100.0,78.9,True,8,936,60,0,50,0
CUST-000044,Female,Self-Employed,58657,36.0,85.2,None,320,95.2,91.0,False,0,0,24,1,62,0
CUST-000045,Male,Skilled,35807,55.6,54.4,Current,0,100.0,56.9,False,0,0,24,0,59,1
CUST-000046,Female,Clerical,28092,82.9,60.9,None,440,68.7,55.9,True,8,498,60,0,6,0
CUST-000047,Male,Professional,89413,12.8,83.9,Current,0,100.0,100.0,True,19,1363,24,0,2,0
CUST-000048,Female,Skilled,34797,48.0,65.0,Current,0,100.0,60.3,True,12,242,12,0,15,1
CUST-000049,Female,Clerical,27050,55.9,58.0,None,300,59.4,50.2,False,0,0,12,1,60,1
CUST-000050,Male,Self-Employed,41934,28.5,74.5,None,300,82.1,68.7,False,0,0,6,0,32,0
CUST-000051,Other,Skilled,38133,60.6,63.8,Current,0,100.0,63.9,True,12,434,24,2,100,0
CUST-000052,Female,Clerical,20755,49.6,56.5,None,300,65.6,63.2,True,12,1187,36,1,8,1
CUST-000053,Female,Professional,80701,52.3,66.6,None,310,60.7,70.9,False,0,0,24,2,29,1
